Amount Earned,Completed Jobs ,USD/Hour,On Time,On Budget,Repeat Hire Rate,Accept Rate,Country,Overall Rating,Reviews Count,Education,Work Experience,Number of Certificates,User_ID_Hashed
7.6,97,18,100,100.0,9.0,81.0,Pakistan,5.0,79.0,0.0,0.0,2,c039a8c8d3201e261b707ae0e299e91b8a36568d4cc0d48d450619a2639894e3
9.0,98,30,92,95.0,10.0,94.0,India,4.9,1741.0,1.0,2.0,4,e17a79dc453e120e465a5816ab13cbf02abb133525f47ecba3cdad98ad6c31b0
9.3,99,35,96,98.0,25.0,70.0,Pakistan,5.0,428.0,1.0,2.0,3,08dbc17741fd318c6e64d225c5adbe899f551c27ef2f483d7f94fedba2d801c2
7.1,94,40,100,100.0,15.0,97.0,India,5.0,64.0,1.0,2.0,1,505713ed08196ebdfa78c51c8f547d7a7e554b87563d38b98dcc8c90987686dc
9.1,100,20,100,100.0,18.0,83.0,India,5.0,145.0,1.0,2.0,15,a2c7dd5b2a368ba625ee0877c24f5db21f8674e1ccdda2c21825dc32cbd8ab6a
7.5,100,45,100,100.0,17.0,78.0,United Kingdom,5.0,33.0,0.0,0.0,0,135b30bb3353e22af35c7a6e7abb77731ab5288fc517534559dbb5d632cddbde
8.7,99,25,96,96.0,15.0,71.0,Pakistan,4.9,498.0,1.0,0.0,2,b5451ad7fcdef81a4fdb722a79e1286d28faa71a0252f65df7431be950515dbb
10.0,98,20,89,94.0,10.0,71.0,India,4.8,168.0,1.0,1.0,3,51bdae5be09dfea9fa3b9d1e43d3a0e27223c62ee9240a652f9d12bc800e01aa
9.2,100,50,98,98.0,14.0,88.0,Germany,5.0,406.0,1.0,2.0,3,1ff884cd6e726b01707197c1e47af9933b8b1507cbdbad0030fc21d7d9f5fac0
8.5,95,50,97,98.0,19.0,62.0,Sweden,4.9,279.0,1.0,2.0,3,b33fcb1a78ce892dfbfa7b755256048b3bf12feadcbcc22ff36102cacc911147
10.0,97,20,87,92.0,18.0,81.0,India,4.8,812.0,1.0,1.0,7,8d641b1a0898deacf7de8115f143bdc239ed75f0a060c15fb30cf95ce2f58a38
8.0,98,25,100,100.0,4.0,94.0,United States,5.0,97.0,1.0,0.0,1,00d3515e416af478f496c02899c9bda65c12f47c72d9ded8899dcf4474e64d5a
8.4,99,50,100,100.0,13.0,96.0,United Kingdom,5.0,59.0,0.0,3.0,1,7b682e2c217294fad6909466a43505625521802ebe2a204b6ee78a1097ff275e
9.2,99,10,92,99.0,11.0,90.0,India,4.9,296.0,1.0,1.0,2,a4eab51338b2a8a6cb0207f25cb1e1de7a3acaf4a6c24b3636363eec30084063
9.3,99,50,93,98.0,17.0,85.0,Pakistan,5.0,349.0,1.0,0.0,15,9eb09b443bde619c895b3c6b84db6ea207598d73fbb90e8c4acd68ee998838af
9.7,99,25,94,96.0,12.0,92.0,India,4.9,955.0,1.0,1.0,2,c0f3e4e9765f32bd6fb7f519e4028c90601ad63d2bd2c1e859739043ea8e6c82
7.4,98,25,100,100.0,29.0,93.0,Bangladesh,5.0,44.0,1.0,3.0,11,5c7896538458a1828a7e5c9263da87f916932d477e4323d24a4762f421c6aa11
8.6,97,30,94,98.0,13.0,90.0,Canada,4.9,247.0,0.0,0.0,1,7d0dbeec54694b18f82e6046af047b4f7bac33307db459fd92d67f46555cbb84
9.2,97,25,86,93.0,20.0,86.0,India,4.9,448.0,1.0,1.0,2,434220284422f91a19172844e59de19e3443235b70f05626c2cf9bc1459a4079
10.0,100,65,97,98.0,17.0,94.0,United States,5.0,502.0,1.0,1.0,2,f7d0ee7303e7ba36b79fa59cffdfb958f7c40f2044989068c4b9588976001b88
8.5,99,30,95,98.0,20.0,84.0,India,5.0,526.0,1.0,1.0,2,9cb9f71fb960625bf17e257d0d09617bd97bb7eb27cd81ca703e2ffcddb39674
7.8,98,25,100,100.0,11.0,96.0,Romania,4.9,176.0,1.0,2.0,7,448955bd9d4d66a6f4fe56f7946795a91dbd5e6bb21d5d1ff48e04e6bdf65d4a
8.3,99,25,94,99.0,32.0,98.0,Bangladesh,5.0,205.0,0.0,0.0,6,cb97135c9f58eac39f97aaf70e9d421ca0e5a585d4d2f4496ab5c98c9e411be9
9.3,97,25,95,97.0,18.0,84.0,India,4.9,661.0,1.0,1.0,7,bffaf1b23954af0f019a0c5f720f89c2f2142f90d72c746b664bd13b534ec7c6
7.4,100,20,100,100.0,14.0,100.0,Egypt,5.0,24.0,1.0,3.0,15,e1f08a9ba4fcb245e0e76977411e862f60de825e22d4b27153e3ceaf83f65d11
9.1,99,50,93,91.0,8.0,73.0,Pakistan,4.9,344.0,1.0,1.0,7,2157286ef3095ec64165e4b4704343d64578c4ba87229244a208fdf2deb5e42e
8.7,95,25,96,97.0,9.0,73.0,Pakistan,4.9,385.0,1.0,1.0,6,c0200d3115e5e5eb519cf66be90d5125dd97731a7be9b69ad5582c37308f6fd3
8.3,100,30,97,98.0,17.0,86.0,India,5.0,313.0,1.0,1.0,4,e9a3e74ad00937bec21851fad0723c04fae88e32a9cd5be48aff8b6f6cfefbe2
8.5,98,40,98,97.0,10.0,84.0,Pakistan,5.0,246.0,1.0,1.0,8,4be72e67451d22281163315a5a85aa68337d44a5d621dd023322c874711c3d62
8.9,99,25,96,99.0,19.0,88.0,Canada,5.0,163.0,1.0,1.0,4,0e6da1b464ad79d36375645b1fa2bbc5c50d188fb55bffca0db0973a4ac3ee9a
9.9,99,46,98,93.0,28.0,88.0,India,5.0,503.0,1.0,1.0,5,5d2b13627ca4ce3a8a19d6c813e836804f68720248acced1a36d5cb8c4c0d6ec
10.0,99,20,87,93.0,15.0,84.0,India,4.9,638.0,1.0,1.0,6,d537aa2eed5a9b9442d4360c08060b585ac2784c76f4049d6ff9a644e20fa5b8
8.9,99,44,94,97.0,16.0,95.0,Greece,5.0,902.0,1.0,3.0,11,96e8b9940bacbef8e11946a77a7c5b4bfc905cb38ab45832a785f56e5d371600
7.6,100,30,97,100.0,13.0,79.0,India,5.0,44.0,0.0,0.0,3,41b9d454644053d974d55fc61281ae5e510d94002eca4d90de7e26b30fc669f2
8.3,100,30,100,100.0,25.0,100.0,Venezuela,5.0,8.0,1.0,0.0,0,e65c270ed03c13841dec173afe345bbf3e8d00cd0dd641238bdf26685024f109
9.3,98,25,95,96.0,17.0,88.0,India,4.9,826.0,1.0,2.0,11,97fa49df9c926743e1e5cb4d6764784f60b5f3c32971adaa02f9c176f474182e
8.2,97,15,93,95.0,12.0,75.0,Pakistan,4.8,127.0,1.0,0.0,15,870b4fcc1b3903c1a92e9d28b94dd5d8e9fb93df789e5009c1cd2f79545ed4ca
8.6,98,75,97,99.0,12.0,82.0,Pakistan,5.0,199.0,1.0,3.0,2,ed3a8230c27ba53dc8fe7f5bad86a55677177f7bb17750c5a082a71b36f8d7b8
8.7,94,18,97,98.0,20.0,82.0,India,4.9,602.0,1.0,0.0,3,3e793e83902b640aaff17fb23cab3f3bfd73facc53965ddae71c2d8295342849
8.8,100,20,100,100.0,12.0,86.0,India,5.0,409.0,1.0,3.0,2,d0f2af9c214fe028d2ae03f9eb64bbb21b348d6c5ba346dbbcf3313a41b00f7e
6.6,100,90,100,100.0,8.0,72.0,United States,5.0,12.0,1.0,2.0,13,3aba801d7778e2217318695240751805f420cc88c26bdaec152ffe7a3a8b3a55
8.6,99,20,96,99.0,22.0,87.0,United Kingdom,5.0,123.0,0.0,0.0,2,7be8fbe2fe23c71c6f438b9e5ef2ce3797d7608a2862511c1cce52efe814d860
9.6,98,25,95,97.0,23.0,91.0,India,5.0,563.0,1.0,3.0,11,e17c616841bf10b5fe4fb8380b05fa6c74a88cec18232efc065a829ace9ee980
8.4,98,20,95,95.0,18.0,84.0,India,4.9,273.0,1.0,1.0,5,f8ca9c84e4f11d8f741ce4f5fa6332b0c0ceb69c6d0d32347e6fcaa8144dfdc5
7.9,99,15,99,100.0,21.0,92.0,India,5.0,106.0,1.0,1.0,2,20e7ab2b0b390e007fd0f9d3e1238aefe6fa8f600fa132f605d8beb0cb7cd61a
6.2,100,16,100,100.0,40.0,100.0,Ukraine,5.0,5.0,1.0,2.0,0,19dc109c35f6804b27e5e816e25580297e45adbda7800cc4d0831736a8af0fcc
9.4,99,25,94,97.0,16.0,94.0,Pakistan,5.0,640.0,1.0,0.0,5,8d0460669d5cc0ec48997c3fc65c30c652742bee94367ee24214c92538dacdfd
7.9,100,50,100,100.0,100.0,100.0,Pakistan,5.0,2.0,1.0,0.0,1,b3235350fbbe8e0fa3b02e723117fafdba4fa6ee173d0a4d23672f6ec7687f52
7.8,100,50,100,100.0,33.0,85.0,Malaysia,5.0,45.0,1.0,3.0,0,d15599ab695ecfa0c36b9b0b3d8ee313adc5bb96dfa10b3df74038fd4b309c13
7.7,96,15,100,100.0,13.0,88.0,India,5.0,52.0,1.0,2.0,8,99863baaf00e5c61d40de91b3703dabe3d45a99800191b61aedf539984ef6c8f
9.8,99,20,96,97.0,15.0,79.0,India,4.9,704.0,1.0,1.0,2,1d6a3d566042ca4027f7f590fac203625f8cc2d4dd10dc07471c581fb40ae7cd
10.0,98,35,91,94.0,23.0,93.0,Sri Lanka,4.9,1708.0,1.0,1.0,5,93e14716c6f9e7685c39d3fbc463eeff4b187c7cc714b4431c529de5407323a2
